               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.015821,            0.009823,           0.0025459,             0.91817,             0.91057,               0.962,             0.89068,           0.0058822,           0.0035683,          0.00031773,            0.007756,            0.007756,            0.007756
                  36,             0.01563,           0.0099728,           0.0029684,             0.86735,             0.96528,             0.96029,             0.89173,           0.0057054,           0.0035598,           0.0002859,             0.00769,             0.00769,             0.00769
                  37,            0.015973,            0.010045,           0.0029479,             0.93162,             0.89533,             0.96133,             0.89055,           0.0057312,           0.0035648,          0.00029418,            0.007624,            0.007624,            0.007624
                  38,            0.015665,            0.009866,           0.0025567,             0.92014,             0.91214,             0.96225,              0.8937,           0.0056969,           0.0035549,          0.00027219,            0.007558,            0.007558,            0.007558
                  39,            0.015372,           0.0098689,            0.002715,             0.85615,             0.97227,             0.96006,             0.89168,           0.0057008,           0.0035391,          0.00028077,            0.007492,            0.007492,            0.007492
                  40,            0.015408,           0.0096969,           0.0024319,             0.90862,             0.92474,             0.96222,             0.89508,           0.0056224,           0.0035063,          0.00025944,            0.007426,            0.007426,            0.007426
                  41,            0.015242,           0.0096588,            0.002316,             0.92015,             0.91799,              0.9635,             0.89811,           0.0055969,           0.0034639,          0.00025644,             0.00736,             0.00736,             0.00736
                  42,            0.015557,           0.0095902,           0.0024289,              0.9017,             0.92792,             0.96186,             0.89752,           0.0056364,           0.0034536,          0.00024437,            0.007294,            0.007294,            0.007294
                  43,            0.015212,           0.0095115,           0.0022034,             0.93808,             0.89711,             0.96256,             0.89711,           0.0057126,           0.0034108,          0.00024599,            0.007228,            0.007228,            0.007228
                  44,            0.015308,           0.0093968,           0.0022206,             0.87219,             0.96603,             0.96416,             0.89937,           0.0055687,           0.0034107,          0.00025115,            0.007162,            0.007162,            0.007162
                  45,            0.015121,           0.0094524,           0.0023764,             0.87094,             0.96745,              0.9657,             0.90219,           0.0055191,           0.0033855,          0.00025644,            0.007096,            0.007096,            0.007096
                  46,            0.015167,           0.0095902,           0.0023786,             0.91937,             0.91662,             0.96373,             0.89995,           0.0054923,           0.0034292,          0.00026233,             0.00703,             0.00703,             0.00703
                  47,            0.014882,           0.0094094,           0.0021383,             0.87632,             0.96093,             0.96452,             0.90085,           0.0054634,           0.0034067,          0.00025055,            0.006964,            0.006964,            0.006964
                  48,            0.015136,           0.0095294,           0.0024747,              0.8784,             0.96392,             0.96485,             0.90111,           0.0054551,           0.0034286,          0.00025347,            0.006898,            0.006898,            0.006898
                  49,            0.014706,           0.0092744,           0.0017784,             0.87594,             0.96303,             0.96372,             0.90187,            0.005417,           0.0033956,          0.00025166,            0.006832,            0.006832,            0.006832
                  50,            0.014765,           0.0093639,           0.0023355,             0.87545,              0.9671,             0.96471,              0.9047,           0.0054072,           0.0033441,          0.00024596,            0.006766,            0.006766,            0.006766
                  51,            0.014685,           0.0094517,           0.0026609,             0.87025,             0.96674,             0.96493,             0.90382,           0.0053868,           0.0033527,          0.00025047,              0.0067,              0.0067,              0.0067
                  52,            0.014727,            0.009304,           0.0023452,             0.87474,              0.9649,             0.96484,             0.90413,           0.0053715,           0.0033444,           0.0002438,            0.006634,            0.006634,            0.006634
                  53,            0.014653,           0.0093261,           0.0024702,             0.87785,             0.96256,             0.96618,             0.90584,           0.0053264,           0.0033276,          0.00024657,            0.006568,            0.006568,            0.006568
                  54,            0.014523,           0.0091497,           0.0019939,             0.87833,             0.96411,              0.9665,             0.90639,           0.0052862,           0.0033189,          0.00024618,            0.006502,            0.006502,            0.006502
                  55,            0.014477,           0.0091366,            0.002061,             0.87426,             0.96728,             0.96693,             0.90804,           0.0052695,           0.0033121,           0.0002409,            0.006436,            0.006436,            0.006436
                  56,            0.014312,           0.0090175,           0.0017546,             0.87391,             0.96889,             0.96786,             0.90914,           0.0052433,           0.0032922,          0.00023738,             0.00637,             0.00637,             0.00637
                  57,            0.014131,           0.0090013,           0.0019932,             0.88296,             0.95782,             0.96796,             0.90872,           0.0052315,           0.0032898,          0.00023808,            0.006304,            0.006304,            0.006304
                  58,            0.014151,           0.0089696,           0.0018793,             0.87925,             0.95934,             0.96748,             0.90879,           0.0052016,           0.0032932,          0.00023648,            0.006238,            0.006238,            0.006238
                  59,            0.014409,           0.0092457,            0.002485,             0.87342,             0.96414,             0.96746,             0.90998,           0.0051813,           0.0032913,          0.00023507,            0.006172,            0.006172,            0.006172
