               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018244,            0.011309,           0.0041106,             0.87367,             0.93985,             0.95693,             0.83625,           0.0081642,           0.0042011,           0.0012382,            0.006535,            0.006535,            0.006535
                  37,            0.017974,            0.011162,           0.0037516,             0.87276,             0.94021,             0.95388,              0.8413,           0.0078144,           0.0042415,           0.0011136,            0.006436,            0.006436,            0.006436
                  38,            0.018189,            0.011166,           0.0039982,             0.88709,             0.94996,             0.95588,             0.83969,           0.0077097,           0.0042105,           0.0010205,            0.006337,            0.006337,            0.006337
                  39,            0.017442,            0.011063,           0.0036445,             0.88107,             0.95305,             0.95619,             0.84562,           0.0078659,           0.0040814,          0.00087186,            0.006238,            0.006238,            0.006238
                  40,            0.017845,            0.011258,           0.0038713,             0.87181,             0.96356,             0.95441,             0.84789,           0.0076157,           0.0041231,          0.00067232,            0.006139,            0.006139,            0.006139
                  41,            0.017459,            0.010985,           0.0034298,             0.89602,             0.95485,             0.96382,             0.85393,           0.0075063,           0.0040395,          0.00074533,             0.00604,             0.00604,             0.00604
                  42,            0.017458,            0.011011,           0.0033721,             0.88738,             0.95122,              0.9593,             0.84963,           0.0074659,           0.0041075,          0.00074547,            0.005941,            0.005941,            0.005941
                  43,            0.017495,            0.010828,           0.0035334,             0.85775,             0.97211,             0.95624,             0.84993,           0.0077406,            0.004105,          0.00081096,            0.005842,            0.005842,            0.005842
                  44,            0.017235,            0.010779,           0.0031877,             0.89056,             0.94757,             0.95973,             0.85143,            0.007313,           0.0040265,          0.00071572,            0.005743,            0.005743,            0.005743
                  45,            0.016769,            0.011097,           0.0048295,             0.86863,             0.95265,             0.95374,             0.83606,           0.0078447,           0.0042187,          0.00098595,            0.005644,            0.005644,            0.005644
                  46,            0.017101,            0.010838,           0.0035734,             0.89274,             0.94421,             0.96089,             0.85516,           0.0073873,           0.0039962,          0.00070986,            0.005545,            0.005545,            0.005545
                  47,            0.016423,            0.010472,           0.0033056,             0.86461,             0.94614,             0.95235,             0.84497,           0.0075461,            0.004266,          0.00073351,            0.005446,            0.005446,            0.005446
                  48,             0.01691,            0.010557,           0.0036279,             0.88019,             0.96075,             0.96172,             0.85808,           0.0074811,           0.0040541,           0.0007663,            0.005347,            0.005347,            0.005347
                  49,            0.016561,            0.010467,            0.003151,             0.85854,             0.96646,             0.95859,             0.85927,           0.0074176,           0.0040373,          0.00073384,            0.005248,            0.005248,            0.005248
                  50,            0.016082,            0.010509,           0.0032923,             0.86251,             0.96034,             0.95931,             0.86064,            0.007146,           0.0039649,          0.00079551,            0.005149,            0.005149,            0.005149
                  51,            0.016656,            0.010704,           0.0042641,             0.89889,             0.95007,             0.96712,             0.85729,           0.0075751,            0.004159,          0.00057126,             0.00505,             0.00505,             0.00505
                  52,            0.016478,            0.010515,           0.0037732,             0.85145,             0.97103,             0.95389,             0.85575,           0.0071597,           0.0040848,          0.00059052,            0.004951,            0.004951,            0.004951
                  53,            0.016253,            0.010618,           0.0038054,             0.86293,             0.96318,             0.95617,             0.85884,           0.0072734,           0.0040503,          0.00068848,            0.004852,            0.004852,            0.004852
                  54,            0.016277,             0.01054,           0.0042486,             0.85061,             0.96463,             0.94954,             0.84853,           0.0073091,           0.0042171,           0.0007029,            0.004753,            0.004753,            0.004753
                  55,            0.015892,            0.010354,           0.0028913,             0.89948,              0.9445,             0.96096,             0.86206,            0.006897,            0.003901,          0.00064192,            0.004654,            0.004654,            0.004654
