               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025459,            0.012331,           0.0075992,              0.6595,             0.82253,             0.82807,             0.67786,            0.016837,           0.0075964,            0.029943,            0.006436,            0.006436,            0.006436
                  38,            0.025394,            0.012488,           0.0063392,             0.70383,             0.91209,             0.87273,             0.71901,            0.017705,           0.0069209,            0.023096,            0.006337,            0.006337,            0.006337
                  39,            0.024977,            0.011582,           0.0062844,             0.76709,                0.89,             0.87026,             0.74398,            0.014896,           0.0069839,            0.014641,            0.006238,            0.006238,            0.006238
                  40,            0.024283,            0.011348,           0.0042707,             0.75275,             0.89783,             0.86089,              0.7191,            0.014607,           0.0071065,            0.016719,            0.006139,            0.006139,            0.006139
                  41,            0.025435,            0.011575,           0.0069579,             0.70494,             0.73157,              0.7172,             0.60231,            0.019366,           0.0091177,             0.03553,             0.00604,             0.00604,             0.00604
                  42,            0.025237,            0.011248,           0.0065782,             0.76918,             0.87985,              0.8697,             0.74458,            0.014873,            0.006808,            0.015694,            0.005941,            0.005941,            0.005941
                  43,            0.023749,             0.01145,           0.0061035,             0.74673,             0.81997,             0.84893,             0.72726,            0.017358,           0.0066878,            0.024891,            0.005842,            0.005842,            0.005842
                  44,            0.024507,            0.011224,           0.0056217,             0.78329,              0.8692,             0.88604,             0.75116,            0.015239,           0.0066309,           0.0033985,            0.005743,            0.005743,            0.005743
                  45,             0.02398,            0.010871,           0.0054824,             0.75906,             0.86279,             0.86868,             0.75299,            0.013667,           0.0064876,           0.0026028,            0.005644,            0.005644,            0.005644
                  46,            0.022654,            0.010855,           0.0075697,             0.73834,             0.87844,             0.86526,             0.75543,            0.016618,           0.0070213,           0.0021649,            0.005545,            0.005545,            0.005545
                  47,            0.023202,            0.010758,           0.0050431,             0.71808,             0.89879,              0.8681,             0.71191,            0.015804,            0.007456,           0.0016519,            0.005446,            0.005446,            0.005446
                  48,            0.023988,            0.011458,           0.0068111,              0.7726,             0.82005,             0.86714,             0.76022,            0.012812,           0.0070691,           0.0022614,            0.005347,            0.005347,            0.005347
                  49,            0.021707,            0.010628,           0.0050256,             0.76418,             0.89512,             0.86933,             0.75622,            0.017157,           0.0071439,           0.0046625,            0.005248,            0.005248,            0.005248
                  50,            0.022361,            0.010702,           0.0051041,             0.77481,             0.78155,             0.84787,              0.7335,            0.016359,           0.0068968,            0.015192,            0.005149,            0.005149,            0.005149
                  51,            0.023958,              0.0105,           0.0041915,             0.78192,             0.81077,             0.86284,             0.76005,            0.013821,           0.0068115,            0.017808,             0.00505,             0.00505,             0.00505
                  52,            0.023587,            0.010296,            0.006243,             0.78626,             0.80408,             0.84626,             0.73973,            0.012809,           0.0070093,            0.013441,            0.004951,            0.004951,            0.004951
                  53,            0.021521,            0.010375,           0.0048265,             0.79659,             0.80744,             0.86317,             0.74928,            0.014809,           0.0066836,           0.0030982,            0.004852,            0.004852,            0.004852
                  54,            0.021342,            0.010174,           0.0041221,              0.8026,              0.7695,             0.85345,              0.7378,            0.014055,           0.0069061,           0.0048593,            0.004753,            0.004753,            0.004753
                  55,            0.022279,            0.010535,           0.0041719,             0.78908,             0.78732,             0.85446,             0.75655,            0.013021,            0.006719,           0.0089169,            0.004654,            0.004654,            0.004654
                  56,            0.021429,           0.0098381,           0.0057285,             0.79152,             0.75849,              0.8304,             0.73438,            0.013082,           0.0074562,           0.0044011,            0.004555,            0.004555,            0.004555
                  57,            0.021478,           0.0095379,           0.0049071,             0.62906,             0.84879,             0.80751,             0.71544,            0.013287,           0.0082859,           0.0074334,            0.004456,            0.004456,            0.004456
                  58,            0.021435,           0.0098035,           0.0039995,             0.66079,             0.87634,              0.8341,             0.73828,            0.016036,           0.0076152,            0.010406,            0.004357,            0.004357,            0.004357
                  59,            0.021676,            0.010702,           0.0043734,             0.80886,             0.81029,             0.85505,             0.75365,            0.012728,           0.0069339,            0.014794,            0.004258,            0.004258,            0.004258
                  60,            0.020223,           0.0095266,           0.0053963,             0.84231,             0.71543,             0.83466,             0.72555,            0.014905,           0.0070593,              0.0219,            0.004159,            0.004159,            0.004159
                  61,            0.019409,            0.010114,           0.0054331,             0.76156,             0.80367,             0.85668,             0.75387,            0.012789,           0.0068704,           0.0052885,             0.00406,             0.00406,             0.00406
                  62,            0.019844,           0.0095175,           0.0035059,              0.7636,             0.78529,             0.85339,             0.75515,            0.012263,            0.007104,           0.0028449,            0.003961,            0.003961,            0.003961
                  63,            0.020502,            0.009602,           0.0033643,              0.7951,             0.85298,             0.86773,             0.79483,             0.01255,           0.0063751,           0.0050881,            0.003862,            0.003862,            0.003862
                  64,            0.020172,           0.0098416,           0.0043366,             0.73538,             0.90302,             0.86617,             0.77256,            0.012576,           0.0065365,           0.0028273,            0.003763,            0.003763,            0.003763
                  65,            0.019936,           0.0098895,           0.0039335,             0.78225,                0.83,             0.86542,             0.76827,            0.011908,           0.0066265,           0.0036536,            0.003664,            0.003664,            0.003664
                  66,            0.019453,           0.0097945,            0.003677,             0.76563,             0.87346,             0.88016,               0.784,            0.012167,           0.0064351,           0.0026267,            0.003565,            0.003565,            0.003565
